Country,Year,PIB Per Capita (€)
Spain,2009,23140
Germany,2009,30990
United Kingdom,2009,27920
France,2009,30040
Italy,2009,26600
Portugal,2009,16600
Zona Euro,2009,28350
USA,2009,33807
Japan,2009,28300
China,2009,2784
Andorra,2009,35935
United Arab Emirates,2009,26864
Afganistán,2009,316
Antigua y Barbuda,2009,11900
Albania,2009,3030
Armenia,2009,2044
Angola,2009,2616
Argentina,2009,5984
Austria,2009,34320
Australia,2009,32963
Azerbaiyán,2009,3563
Bosnia y Herzegovina,2009,3394
Barbados,2009,13791
Bangladés,2009,604
Belgium,2009,32210
Burkina Faso,2009,431
Bulgaria,2009,4930
Bahrain,2009,14565
Burundi,2009,142
Benin,2009,734
Brunéi,2009,22456
Bolivia,2009,1438
Brazil,2009,6202
Bahamas,2009,20666
Bután,2009,1323
Botsuana,2009,3648
Bielorrusia,2009,3840
Belice,2009,3845
Canada,2009,29420
República Democrática del Congo,2009,209
República Centroafricana,2009,322
República del Congo,2009,1637
Switzerland,2009,52210
Costa de Marfil,2009,1154
Chile,2009,7315
Camerún,2009,1048
Colombia,2009,3826
Costa Rica,2009,4938
Cuba,2009,3649
Cabo Verde,2009,2813
Cyprus,2009,23110
Czech Republic,2009,14230
Yibuti,2009,1236
Denmark,2009,42060
Dominica,2009,4955
República Dominicana,2009,3694
Argelia,2009,3059
Ecuador,2009,2951
Estonia,2009,10580
Egipto,2009,1851
Eritrea,2009,298
Etiopía,2009,268
Finland,2009,34040
Fiyi,2009,2643
Estados Federados de Micronesia,2009,1922
Gabón,2009,5639
Granada,2009,5263
Georgia,2009,2075
Ghana,2009,1072
Gambia,2009,556
Guinea,2009,458
Guinea Ecuatorial,2009,11899
Greece,2009,21100
Guatemala,2009,1918
Guinea-Bisáu,2009,440
Guyana,2009,2481
Hong Kong,2009,21958
Honduras,2009,1278
Croacia,2009,10650
Haití,2009,839
Hungría,2009,9420
Indonesia,2009,1772
EIRE,2009,37320
Israel,2009,20443
India,2009,786
Irak,2009,2657
Irán,2009,4992
Iceland,2009,29700
Jamaica,2009,3319
Jordania,2009,2907
Kenia,2009,806
Kirguistán,2009,629
Camboya,2009,643
Kiribati,2009,1012
Comoras,2009,1010
San Cristóbal y Nieves,2009,11850
Corea del Norte,2009,347
Korea,2009,14307
Kuwait,2009,27386
Kazajistán,2009,5143
Laos,2009,741
Lebanon,2009,5132
Santa Lucía,2009,5913
Liechtenstein,2009,90400
Sri Lanka,2009,1774
Liberia,2009,337
Lesoto,2009,702
Lithuania,2009,8530
Luxemburgo,2009,78380
Letonia,2009,8590
Libia,2009,6850
Marruecos,2009,2270
Mónaco,2009,121274
Moldavia,2009,1357
Montenegro,2009,4820
Madagascar,2009,351
Islas Marshall,2009,2076
Macedonia del Norte,2009,3300
Malí,2009,554
Myanmar,2009,452
Mongolia,2009,1211
Mauritania,2009,1059
Malta,2009,15240
Mauricio,2009,5323
Maldivas,2009,5348
Malaui,2009,410
México,2009,5991
Malasia,2009,5415
Mozambique,2009,384
Namibia,2009,3103
Níger,2009,332
Nigeria,2009,1888
Nicaragua,2009,1037
Netherlands,2009,38120
Norway,2009,59030
Nepal,2009,387
Nauru,2009,3395
Nueva Zelanda,2009,20341
Omán,2009,13806
Panamá,2009,5541
Perú,2009,3085
Papúa Nueva Guinea,2009,1316
Filipinas,2009,1381
Pakistán,2009,796
Poland,2009,8330
Estado de Palestina,2009,1480
Palaos,2009,7156
Paraguay,2009,2851
Catar,2009,38631
Rumanía,2009,6150
Serbia,2009,4610
Rusia,2009,6525
Ruanda,2009,415
Saudi Arabia,2009,13520
Islas Salomón,2009,1048
Seychelles,2009,6858
Sudán,2009,1006
Sweden,2009,33670
Singapore,2009,27939
Eslovenia,2009,17550
Eslovaquia,2009,11820
Sierra Leona,2009,450
San Marino,2009,48097
Senegal,2009,938
Somalia,2009,177
Surinam,2009,5645
Sudán del Sur,2009,949
Santo Tomé y Príncipe,2009,810
El Salvador,2009,2089
Siria,2009,1835
Eswatini,2009,2455
Chad,2009,764
Togo,2009,517
Thailand,2009,2968
Tayikistán,2009,478
Timor Oriental,2009,499
Turkmenistán,2009,2609
Túnez,2009,3072
Tonga,2009,2182
Türkiye,2009,6500
Trinidad y Tobago,2009,10606
Tuvalu,2009,1981
Taiwan,2009,12133
Tanzania,2009,502
Ucrania,2009,1906
Uganda,2009,586
Uruguay,2009,7344
Uzbekistán,2009,1214
San Vicente y las Granadinas,2009,4711
Venezuela,2009,6860
Viet Nam,2009,1063
Vanuatu,2009,2000
Samoa,2009,2404
Yemen,2009,696
RSA,2009,4681
Zambia,2009,816
Zimbabue,2009,838
Spain,2010,23130
Germany,2010,32580
United Kingdom,2010,29830
France,2010,30830
Italy,2010,27050
Portugal,2010,17010
Zona Euro,2010,29070
USA,2010,36619
Japan,2010,32400
China,2010,3451
Andorra,2010,37023
United Arab Emirates,2010,33298
Afganistán,2010,410
Antigua y Barbuda,2010,11564
Albania,2010,3130
Armenia,2010,2311
Angola,2010,3091
Argentina,2010,7848
Austria,2010,35170
Australia,2010,42778
Azerbaiyán,2010,4432
Bosnia y Herzegovina,2010,3660
Barbados,2010,14635
Bangladés,2010,705
Belgium,2010,33340
Burkina Faso,2010,471
Bulgaria,2010,5080
Bahrain,2010,16445
Burundi,2010,163
Benin,2010,734
Brunéi,2010,26716
Bolivia,2010,1680
Brazil,2010,8548
Bahamas,2010,21650
Bután,2010,1651
Botsuana,2010,4685
Bielorrusia,2010,4547
Belice,2010,4088
Canada,2010,35895
República Democrática del Congo,2010,255
República Centroafricana,2010,363
República del Congo,2010,2235
Switzerland,2010,58790
Costa de Marfil,2010,1204
Chile,2010,9608
Camerún,2010,1055
Colombia,2010,4898
Costa Rica,2010,6232
Cuba,2010,3977
Cabo Verde,2010,2878
Cyprus,2010,23460
Czech Republic,2010,15170
Yibuti,2010,1385
Denmark,2010,43880
Dominica,2010,5262
República Dominicana,2010,4283
Argelia,2010,3724
Ecuador,2010,3451
Estonia,2010,11060
Egipto,2010,2203
Eritrea,2010,378
Etiopía,2010,257
Finland,2010,35080
Fiyi,2010,3023
Estados Federados de Micronesia,2010,2137
Gabón,2010,6733
Granada,2010,5532
Georgia,2010,2465
Ghana,2010,1345
Gambia,2010,604
Guinea,2010,475
Guinea Ecuatorial,2010,12939
Greece,2010,20100
Guatemala,2010,2157
Guinea-Bisáu,2010,486
Guyana,2010,2892
Hong Kong,2010,24436
Honduras,2010,1427
Croacia,2010,10700
Haití,2010,886
Hungría,2010,9960
Indonesia,2010,2395
EIRE,2010,36660
Israel,2010,23674
India,2010,1016
Irak,2010,3372
Irán,2010,6083
Iceland,2010,33410
Jamaica,2010,3785
Jordania,2010,3284
Kenia,2010,887
Kirguistán,2010,667
Camboya,2010,713
Kiribati,2010,1213
Comoras,2010,1044
San Cristóbal y Nieves,2010,12505
Corea del Norte,2010,421
Korea,2010,18141
Kuwait,2010,29652
Kazajistán,2010,6836
Laos,2010,895
Lebanon,2010,5800
Santa Lucía,2010,6540
Liechtenstein,2010,106200
Sri Lanka,2010,2181
Liberia,2010,381
Lesoto,2010,890
Lithuania,2010,8930
Luxemburgo,2010,83550
Letonia,2010,8380
Libia,2010,8744
Marruecos,2010,2363
Mónaco,2010,122088
Moldavia,2010,1830
Montenegro,2010,5040
Madagascar,2010,371
Islas Marshall,2010,2294
Macedonia del Norte,2010,3650
Malí,2010,588
Myanmar,2010,581
Mongolia,2010,1961
Mauritania,2010,1293
Malta,2010,16550
Mauricio,2010,6111
Maldivas,2010,6095
Malaui,2010,470
México,2010,7260
Malasia,2010,6819
Mozambique,2010,366
Namibia,2010,4062
Níger,2010,359
Nigeria,2010,2383
Nicaragua,2010,1135
Netherlands,2010,38700
Norway,2010,67980
Nepal,2010,503
Nauru,2010,3721
Nueva Zelanda,2010,25234
Omán,2010,16338
Panamá,2010,6222
Perú,2010,3921
Papúa Nueva Guinea,2010,1594
Filipinas,2010,1686
Pakistán,2010,858
Poland,2010,9490
Estado de Palestina,2010,1814
Palaos,2010,7667
Paraguay,2010,3607
Catar,2010,52605
Rumanía,2010,6340
Serbia,2010,4500
Rusia,2010,8552
Ruanda,2010,456
Saudi Arabia,2010,16603
Islas Salomón,2010,1193
Seychelles,2010,8126
Sudán,2010,1234
Sweden,2010,39710
Singapore,2010,35602
Eslovenia,2010,17600
Eslovaquia,2010,12660
Sierra Leona,2010,506
San Marino,2010,45543
Senegal,2010,959
Somalia,2010,165
Surinam,2010,6583
Sudán del Sur,2010,1119
Santo Tomé y Príncipe,2010,791
El Salvador,2010,2291
Siria,2010,2115
Eswatini,2010,3163
Chad,2010,887
Togo,2010,532
Thailand,2010,3749
Tayikistán,2010,556
Timor Oriental,2010,620
Turkmenistán,2010,3050
Túnez,2010,3235
Tonga,2010,2684
Türkiye,2010,8050
Trinidad y Tobago,2010,12781
Tuvalu,2010,2362
Taiwan,2010,14457
Tanzania,2010,560
Ucrania,2010,2334
Uganda,2010,610
Uruguay,2010,9756
Uzbekistán,2010,1495
San Vicente y las Granadinas,2010,4984
Venezuela,2010,8410
Viet Nam,2010,1228
Vanuatu,2010,2267
Samoa,2010,2758
Yemen,2010,871
RSA,2010,6106
Zambia,2010,1094
Zimbabue,2010,1054
Spain,2011,22870
Germany,2011,34220
United Kingdom,2011,30230
France,2011,31700
Italy,2011,27610
Portugal,2011,16670
Zona Euro,2011,29730
USA,2011,35933
Japan,2011,33200
China,2011,4063
Andorra,2011,37368
United Arab Emirates,2011,36592
Afganistán,2011,439
Antigua y Barbuda,2011,10810
Albania,2011,3210
Armenia,2011,2410
Angola,2011,3725
Argentina,2011,9189
Austria,2011,36740
Australia,2011,48508
Azerbaiyán,2011,5201
Bosnia y Herzegovina,2011,3790
Barbados,2011,14246
Bangladés,2011,742
Belgium,2011,34310
Burkina Faso,2011,521
Bulgaria,2011,5640
Bahrain,2011,17987
Burundi,2011,165
Benin,2011,761
Brunéi,2011,33835
Bolivia,2011,1938
Brazil,2011,9575
Bahamas,2011,20382
Bután,2011,1915
Botsuana,2011,5236
Bielorrusia,2011,4660
Belice,2011,4008
Canada,2011,37569
República Democrática del Congo,2011,279
República Centroafricana,2011,386
República del Congo,2011,2453
Switzerland,2011,66240
Costa de Marfil,2011,1152
Chile,2011,10492
Camerún,2011,1088
Colombia,2011,5402
Costa Rica,2011,6661
Cuba,2011,4386
Cabo Verde,2011,3060
Cyprus,2011,23340
Czech Republic,2011,15870
Yibuti,2011,1465
Denmark,2011,44540
Dominica,2011,5145
República Dominicana,2011,4351
Argelia,2011,4273
Ecuador,2011,3744
Estonia,2011,12590
Egipto,2011,2211
Eritrea,2011,462
Etiopía,2011,271
Finland,2011,36680
Fiyi,2011,3451
Estados Federados de Micronesia,2011,2138
Gabón,2011,7827
Granada,2011,5245
Georgia,2011,2947
Ghana,2011,1477
Gambia,2011,511
Guinea,2011,436
Guinea Ecuatorial,2011,15432
Greece,2011,18320
Guatemala,2011,2303
Guinea-Bisáu,2011,557
Guyana,2011,3194
Hong Kong,2011,25117
Honduras,2011,1490
Croacia,2011,10680
Haití,2011,912
Hungría,2011,10230
Indonesia,2011,2651
EIRE,2011,37790
Israel,2011,24782
India,2011,1039
Irak,2011,4202
Irán,2011,6905
Iceland,2011,35390
Jamaica,2011,3931
Jordania,2011,3299
Kenia,2011,847
Kirguistán,2011,813
Camboya,2011,784
Kiribati,2011,1349
Comoras,2011,1097
San Cristóbal y Nieves,2011,12729
Corea del Norte,2011,449
Korea,2011,18810
Kuwait,2011,34088
Kazajistán,2011,8360
Laos,2011,1004
Lebanon,2011,5687
Santa Lucía,2011,6561
Liechtenstein,2011,114700
Sri Lanka,2011,2386
Liberia,2011,419
Lesoto,2011,917
Lithuania,2011,10260
Luxemburgo,2011,85330
Letonia,2011,9240
Libia,2011,5457
Marruecos,2011,2420
Mónaco,2011,128858
Moldavia,2011,2105
Montenegro,2011,5220
Madagascar,2011,398
Islas Marshall,2011,2329
Macedonia del Norte,2011,3890
Malí,2011,675
Myanmar,2011,774
Mongolia,2011,2660
Mauritania,2011,1446
Malta,2011,16890
Mauricio,2011,6697
Maldivas,2011,5805
Malaui,2011,500
México,2011,7584
Malasia,2011,7471
Mozambique,2011,434
Namibia,2011,4198
Níger,2011,368
Nigeria,2011,2479
Nicaragua,2011,1171
Netherlands,2011,39300
Norway,2011,74470
Nepal,2011,567
Nauru,2011,4881
Nueva Zelanda,2011,27382
Omán,2011,16899
Panamá,2011,6886
Perú,2011,4245
Papúa Nueva Guinea,2011,1781
Filipinas,2011,1777
Pakistán,2011,935
Poland,2011,9970
Estado de Palestina,2011,1949
Palaos,2011,7888
Paraguay,2011,4245
Catar,2011,69575
Rumanía,2011,6880
Serbia,2011,5090
Rusia,2011,10209
Ruanda,2011,479
Saudi Arabia,2011,19492
Islas Salomón,2011,1310
Seychelles,2011,7962
Sudán,2011,1462
Sweden,2011,43420
Singapore,2011,38723
Eslovenia,2011,17920
Eslovaquia,2011,13270
Sierra Leona,2011,540
San Marino,2011,41325
Senegal,2011,982
Somalia,2011,292
Surinam,2011,6292
Sudán del Sur,2011,1211
Santo Tomé y Príncipe,2011,883
El Salvador,2011,2393
Siria,2011,2121
Eswatini,2011,3261
Chad,2011,970
Togo,2011,563
Thailand,2011,3861
Tayikistán,2011,600
Timor Oriental,2011,682
Turkmenistán,2011,3723
Túnez,2011,3176
Tonga,2011,2885
Türkiye,2011,8150
Trinidad y Tobago,2011,13868
Tuvalu,2011,2715
Taiwan,2011,14973
Tanzania,2011,560
Ucrania,2011,2675
Uganda,2011,627
Uruguay,2011,11023
Uzbekistán,2011,1664
San Vicente y las Granadinas,2011,4703
Venezuela,2011,7857
Viet Nam,2011,1401
Vanuatu,2011,2391
Samoa,2011,2856
Yemen,2011,853
RSA,2011,6304
Zambia,2011,1167
Zimbabue,2011,1161
